Time Lapsed,Absolute_Magnetic_Field
1674.500,35.24
1674.532,35.319
1674.704,35.311
1674.732,35.261
1674.830,35.31
1674.938,35.247
1675.036,35.426
1675.139,35.333
1675.247,35.29
1675.344,35.2
1675.444,35.258
1675.548,35.303
1675.635,35.346
1675.731,35.373
1675.831,35.213
1675.958,35.247
1676.038,35.509
1676.138,35.429
1676.241,35.343
1676.344,35.4
1676.447,35.358
1676.548,35.335
1676.650,35.328
1676.754,35.454
1676.854,35.232
1676.959,35.374
1677.060,35.32
1677.165,35.189
1677.266,35.233
1677.367,35.069
1677.472,35.205
1677.573,35.414
1677.675,35.255
1677.793,35.23
1677.856,35.265
1678.007,35.236
1678.082,35.338
1678.208,35.226
1678.289,35.393
1678.391,35.296
1678.417,35.323
1678.530,35.297
1678.619,35.217
1678.722,35.482
1678.824,35.307
1678.928,35.326
1679.029,35.416
1679.209,35.318
1679.219,35.488
1679.337,35.262
1679.440,35.318
1679.518,35.346
1679.634,35.342
1679.724,35.504
1679.824,35.417
1679.926,35.235
1680.069,35.294
1680.132,35.25
1730.236,35.294
1730.336,35.293
1730.440,35.343
1730.541,35.076
1730.646,35.186
1730.746,35.322
1730.849,35.382
1730.951,35.347
1731.053,35.121
1731.156,35.429
1731.276,35.49
1731.362,35.43
1731.470,35.357
1731.564,35.398
1731.668,35.235
1731.771,35.228
1731.881,35.339
1731.949,35.383
